"subj","block","incentive","RT"
"2","First","flat",8.144
"3","First","flat",11.3293333333333
"5","First","flat",1.112
"8","First","flat",1.4265
"9","First","flat",1.75566666666667
"11","First","flat",11.2455
"15","First","flat",4.42666666666667
"18","First","flat",12.022
"20","First","flat",4.55866666666667
"24","First","flat",4.5915
"26","First","flat",13.8578333333333
"28","First","flat",19.2638333333333
"30","First","flat",8.19483333333333
"36","First","flat",6.405
"38","First","flat",4.58633333333333
"42","First","flat",6.029
"44","First","flat",14.5186666666667
"46","First","flat",17.6566666666667
"2","Second","flat",5.78233333333333
"3","Second","flat",6.3925
"5","Second","flat",0.795
"8","Second","flat",0.894333333333333
"9","Second","flat",1.90183333333333
"11","Second","flat",6.54283333333333
"15","Second","flat",3.46166666666667
"18","Second","flat",8.82483333333333
"20","Second","flat",5.17283333333333
"24","Second","flat",2.55516666666667
"26","Second","flat",10.826
"28","Second","flat",11.3608333333333
"30","Second","flat",5.3755
"36","Second","flat",4.2535
"38","Second","flat",3.00416666666667
"42","Second","flat",4.17233333333333
"44","Second","flat",16.9943333333333
"46","Second","flat",8.95883333333333
"1","First","reward",1.073
"4","First","reward",1.31333333333333
"6","First","reward",4.867
"7","First","reward",1.2055
"10","First","reward",3.4695
"13","First","reward",4.38766666666667
"14","First","reward",3.8845
"16","First","reward",1.36125
"17","First","reward",3.00666666666667
"21","First","reward",2.82016666666667
"23","First","reward",2.074
"25","First","reward",1.3135
"27","First","reward",7.8945
"29","First","reward",3.15183333333333
"32","First","reward",1.073
"35","First","reward",7.1125
"37","First","reward",8.97033333333333
"39","First","reward",5.66066666666667
"41","First","reward",2.508
"43","First","reward",4.38533333333333
"47","First","reward",9.76033333333333
"1","Second","reward",0.728333333333333
"4","Second","reward",1.19633333333333
"6","Second","reward",5.00483333333333
"7","Second","reward",1.27925
"10","Second","reward",3.13716666666667
"13","Second","reward",3.18433333333333
"14","Second","reward",0.754
"16","Second","reward",1.84316666666667
"17","Second","reward",1.92116666666667
"21","Second","reward",2.68766666666667
"23","Second","reward",1.95516666666667
"25","Second","reward",0.939833333333333
"27","Second","reward",7.394
"29","Second","reward",4.19833333333333
"32","Second","reward",0.728333333333333
"35","Second","reward",3.44116666666667
"37","Second","reward",9.07516666666667
"39","Second","reward",4.10566666666667
"41","Second","reward",2.14483333333333
"43","Second","reward",3.71933333333333
"47","Second","reward",5.2585
