"subj","block","incentive","RT"
"2","First","flat",2.21309792649251
"3","First","flat",2.51198124704728
"5","First","flat",0.747635365844015
"8","First","flat",0.886449889863134
"9","First","flat",1.01365939760243
"11","First","flat",2.50515852256355
"15","First","flat",1.69132507190628
"18","First","flat",2.56664023481467
"20","First","flat",1.71535827135044
"24","First","flat",1.72124758748611
"26","First","flat",2.69852722336513
"28","First","flat",3.00883768789913
"30","First","flat",2.21864173209901
"36","First","flat",2.00215544771976
"38","First","flat",1.72032313873463
"42","First","flat",1.95004444819377
"44","First","flat",2.74204360041162
"46","First","flat",2.92620354423516
"2","Second","flat",1.91432119220566
"3","Second","flat",2.0004659727445
"5","Second","flat",0.585005021940242
"8","Second","flat",0.638866973646875
"9","Second","flat",1.06534272115641
"11","Second","flat",2.02059788508626
"15","Second","flat",1.49552238830421
"18","Second","flat",2.28491319408303
"20","Second","flat",1.82015794374925
"24","Second","flat",1.26840194448163
"26","Second","flat",2.47030049739864
"28","Second","flat",2.51453287154752
"30","Second","flat",1.85246251934146
"36","Second","flat",1.65889452114669
"38","Second","flat",1.3873354856283
"42","Second","flat",1.64332390843324
"44","Second","flat",2.89005689351676
"46","Second","flat",2.29845992952815
"1","First","reward",0.728996833453643
"4","First","reward",0.838689485850604
"6","First","reward",1.76934342994372
"7","First","reward",0.790954240562857
"10","First","reward",1.49727654554577
"13","First","reward",1.68411239075956
"14","First","reward",1.58606692611086
"16","First","reward",0.859191139833582
"17","First","reward",1.38795964043895
"21","First","reward",1.34029405168417
"23","First","reward",1.1229796451164
"25","First","reward",0.838761529364917
"27","First","reward",2.18543310818319
"29","First","reward",1.42355000376054
"32","First","reward",0.728996833453643
"35","First","reward",2.09340608203021
"37","First","reward",2.29961401704909
"39","First","reward",1.89621957964272
"41","First","reward",1.25504607450994
"43","First","reward",1.68367920903306
"47","First","reward",2.37586653318813
"1","Second","reward",0.547157553013381
"4","Second","reward",0.786789303263573
"6","Second","reward",1.79256470049788
"7","Second","reward",0.823846441482875
"10","Second","reward",1.4200111735101
"13","Second","reward",1.43134739216796
"14","Second","reward",0.561898893949991
"16","Second","reward",1.04491845447033
"17","Second","reward",1.07198307986298
"21","Second","reward",1.30499391838466
"23","Second","reward",1.0835550508468
"25","Second","reward",0.662602058731784
"27","Second","reward",2.1275171649114
"29","Second","reward",1.64833806139166
"32","Second","reward",0.547157553013381
"35","Second","reward",1.49091710469081
"37","Second","reward",2.31007365029311
"39","Second","reward",1.63035103401431
"41","Second","reward",1.14576089457752
"43","Second","reward",1.55166754668389
"47","Second","reward",1.83394053978594
