"subj","block","incentive","RT"
"2","First","flat",2.85376943707791
"3","First","flat",3.36590750516608
"5","First","flat",1.05451410611713
"8","First","flat",1.19436175424366
"9","First","flat",1.32501572317715
"11","First","flat",3.35343107876098
"15","First","flat",2.10396451174127
"18","First","flat",3.46727558754709
"20","First","flat",2.13510343231111
"24","First","flat",2.14277856998804
"26","First","flat",3.72261109079814
"28","First","flat",4.38905836522293
"30","First","flat",2.8626619313732
"36","First","flat",2.53081014696875
"38","First","flat",2.14157263087978
"42","First","flat",2.45540220737866
"44","First","flat",3.81033681800791
"46","First","flat",4.20198365854351
"2","Second","flat",2.40464827642908
"3","Second","flat",2.52833937595411
"5","Second","flat",0.89162772500635
"8","Second","flat",0.945691986501595
"9","Second","flat",1.37906973476084
"11","Second","flat",2.5578962710269
"15","Second","flat",1.86055547261205
"18","Second","flat",2.97066210352732
"20","Second","flat",2.27438636412843
"24","Second","flat",1.598488869735
"26","Second","flat",3.29028874112896
"28","Second","flat",3.37058353009287
"30","Second","flat",2.31851245413951
"36","Second","flat",2.06240151280007
"38","Second","flat",1.73325320327604
"42","Second","flat",2.04262902489251
"44","Second","flat",4.12241838407182
"46","Second","flat",2.99313102508616
"1","First","reward",1.03585713300628
"4","First","reward",1.14600756251141
"6","First","reward",2.20612782947861
"7","First","reward",1.09795264014437
"10","First","reward",1.86265938915305
"13","First","reward",2.0946757903472
"14","First","reward",1.97091349378911
"16","First","reward",1.1667261889578
"17","First","reward",1.73397424048533
"21","First","reward",1.67933518591932
"23","First","reward",1.44013888219158
"25","First","reward",1.14608027642046
"27","First","reward",2.80971528806746
"29","First","reward",1.77534034295775
"32","First","reward",1.03585713300628
"35","First","reward",2.66692707061892
"37","First","reward",2.99505147423769
"39","First","reward",2.37921555699913
"41","First","reward",1.58366663158633
"43","First","reward",2.09411874862275
"47","First","reward",3.12415321860714
"1","Second","reward",0.853424474299474
"4","Second","reward",1.093770237908
"6","Second","reward",2.23714848262992
"7","Second","reward",1.1310393450274
"10","Second","reward",1.7712048629864
"13","Second","reward",1.78447004271109
"14","Second","reward",0.868331733843696
"16","Second","reward",1.35763274366327
"17","Second","reward",1.38606156669416
"21","Second","reward",1.6394104631442
"23","Second","reward",1.39827274401909
"25","Second","reward",0.969450015902487
"27","Second","reward",2.71919105617829
"29","Second","reward",2.04898348781373
"32","Second","reward",0.853424474299474
"35","Second","reward",1.85503818469234
"37","Second","reward",3.01250172890683
"39","Second","reward",2.02624447356845
"41","Second","reward",1.46452495142054
"43","Second","reward",1.92855731917237
"47","Second","reward",2.29314194937862
