"subj","block","acc"
"2","First",0.831578947368421
"3","First",0.739583333333333
"5","First",0.916666666666667
"8","First",0.526315789473684
"9","First",0.736842105263158
"11","First",0.90625
"12","First",0.53125
"15","First",0.747368421052632
"18","First",0.774193548387097
"20","First",0.729166666666667
"22","First",0.375
"24","First",0.691489361702128
"26","First",0.863157894736842
"28","First",0.927083333333333
"30","First",0.8125
"36","First",0.787234042553192
"38","First",0.802197802197802
"42","First",0.842105263157895
"44","First",0.831578947368421
"46","First",0.863157894736842
"2","Second",0.947916666666667
"3","Second",0.763440860215054
"5","Second",0.923913043478261
"8","Second",0.638297872340426
"9","Second",0.842105263157895
"11","Second",0.958333333333333
"12","Second",0.494736842105263
"15","Second",0.778947368421053
"18","Second",0.873684210526316
"20","Second",0.760416666666667
"22","Second",0.736842105263158
"24","Second",0.729166666666667
"26","Second",0.851063829787234
"28","Second",0.916666666666667
"30","Second",0.770833333333333
"36","Second",0.774193548387097
"38","Second",0.821052631578947
"42","Second",0.884210526315789
"44","Second",0.895833333333333
"46","Second",0.989473684210526
