"subj","block","incentive","propHetro"
"11"," 1","f",0.271542553191489
"15"," 1","f",0.295730949856082
"18"," 1","f",0.370224504177993
"2"," 1","f",0.308732532357036
"20"," 1","f",0.473737132432785
"24"," 1","f",0.423125763125763
"26"," 1","f",0.438158212560387
"28"," 1","f",0.413829828461509
"3"," 1","f",0.597885835095137
"30"," 1","f",0.533552087314527
"36"," 1","f",0.45557913645849
"38"," 1","f",0.855542380324989
"42"," 1","f",0.691483477802735
"44"," 1","f",0.738445790045336
"46"," 1","f",0.23810298102981
"5"," 1","f",0.966889779084901
"8"," 1","f",0.918564814814815
"9"," 1","f",0.948997113997114
"11"," 2","f",0.499752770732484
"15"," 2","f",0.465818367686793
"18"," 2","f",0.671956867421984
"2"," 2","f",0.612735326688815
"20"," 2","f",0.632270531400966
"24"," 2","f",0.519144580909287
"26"," 2","f",0.585542263600909
"28"," 2","f",0.624848331648129
"3"," 2","f",0.747192756687195
"30"," 2","f",0.588119288119288
"36"," 2","f",0.497846236450888
"38"," 2","f",0.943570767807586
"42"," 2","f",0.766235285182654
"44"," 2","f",0.814399975046637
"46"," 2","f",0.326553328286319
"5"," 2","f",0.944828076157999
"8"," 2","f",0.742849966291179
"9"," 2","f",0.958754656196517
"10"," 1","r",0.498661641695009
"13"," 1","r",0.594772978959025
"14"," 1","r",0.473863636363636
"16"," 1","r",0.968985507246377
"17"," 1","r",0.737494456762749
"21"," 1","r",0.346950354609929
"23"," 1","r",0.778178849736678
"25"," 1","r",0.560863383514218
"27"," 1","r",0.330787990917501
"29"," 1","r",0.346079904323264
"35"," 1","r",0.841119690331015
"37"," 1","r",0.520760799484204
"39"," 1","r",0.546875542273209
"4"," 1","r",0.376747835368525
"41"," 1","r",0.703090036578409
"43"," 1","r",0.872995568405532
"47"," 1","r",0.610179995443153
"6"," 1","r",0.78758865248227
"7"," 1","r",0.0692113738452411
"10"," 2","r",0.257323614028095
"13"," 2","r",0.771668208448967
"14"," 2","r",0.659337639311044
"16"," 2","r",0.922563470038031
"17"," 2","r",0.783389780596704
"21"," 2","r",0.479401853659109
"23"," 2","r",0.799853804731854
"25"," 2","r",0.612915010521394
"27"," 2","r",0.540981912144703
"29"," 2","r",0.540744900744901
"35"," 2","r",0.917524077989194
"37"," 2","r",0.618175850268874
"39"," 2","r",0.692111660319261
"4"," 2","r",0.850912349299446
"41"," 2","r",0.783435351728035
"43"," 2","r",0.823758448379923
"47"," 2","r",0.705685425685426
"6"," 2","r",0.879347826086956
"7"," 2","r",0.0512735326688815
