"subj","trial","targSide","RT","acc","block","incentive"
"1",1,1,"homogenous",1.215,1,"1","r"
"2",1,2,"absent",1.27,1,"1","r"
"3",1,3,"homogenous",0.92,0,"1","r"
"4",1,4,"absent",1.216,0,"1","r"
"5",1,5,"heterogenous",1.881,1,"1","r"
"6",1,6,"absent",1.46,0,"1","r"
"7",1,7,"absent",1.819,1,"1","r"
"8",1,8,"homogenous",1.022,1,"1","r"
"9",1,9,"heterogenous",1.079,0,"1","r"
"10",1,10,"heterogenous",1.483,1,"1","r"
"11",1,11,"absent",1.321,0,"1","r"
"12",1,12,"absent",1.632,0,"1","r"
"13",1,13,"homogenous",0.774,1,"1","r"
"14",1,14,"homogenous",0.944,1,"1","r"
"15",1,15,"absent",1.024,0,"1","r"
"16",1,16,"absent",1.103,1,"1","r"
"17",1,17,"homogenous",0.899,1,"1","r"
"18",1,18,"homogenous",0.732,1,"1","r"
"19",1,19,"homogenous",0.65,1,"1","r"
"20",1,20,"heterogenous",1.022,1,"1","r"
"21",1,21,"absent",1.181,1,"1","r"
"22",1,22,"absent",1.151,0,"1","r"
"23",1,23,"absent",1.223,1,"1","r"
"24",1,24,"absent",1.389,1,"1","r"
"25",1,25,"absent",1.21,0,"1","r"
"26",1,26,"heterogenous",1.322,0,"1","r"
"27",1,27,"absent",1.442,1,"1","r"
"28",1,28,"absent",1.541,1,"1","r"
"29",1,29,"homogenous",0.77,1,"1","r"
"30",1,30,"absent",1.121,1,"1","r"
"31",1,31,"absent",1.815,1,"1","r"
"32",1,32,"homogenous",0.844,1,"1","r"
"33",1,33,"absent",1.183,1,"1","r"
"34",1,34,"absent",0.72,1,"1","r"
"35",1,35,"heterogenous",0.744,0,"1","r"
"36",1,36,"absent",1.35,1,"1","r"
"37",1,37,"absent",1.081,1,"1","r"
"38",1,38,"heterogenous",1.142,0,"1","r"
"39",1,39,"absent",1.5,0,"1","r"
"40",1,40,"homogenous",0.895,1,"1","r"
"41",1,41,"heterogenous",1.591,1,"1","r"
"42",1,42,"heterogenous",1.183,1,"1","r"
"43",1,43,"absent",1.451,1,"1","r"
"44",1,44,"homogenous",0.971,1,"1","r"
"45",1,45,"absent",1.15,1,"1","r"
"46",1,46,"heterogenous",1.229,0,"1","r"
"47",1,47,"homogenous",0.793,1,"1","r"
"48",1,48,"absent",1.422,1,"1","r"
"49",1,49,"absent",1.349,1,"1","r"
"50",1,50,"absent",1.122,1,"1","r"
"51",1,51,"heterogenous",1.098,1,"1","r"
"52",1,52,"heterogenous",1.165,0,"1","r"
"53",1,53,"homogenous",0.854,1,"1","r"
"54",1,54,"absent",1.528,1,"1","r"
"55",1,55,"absent",1.152,1,"1","r"
"56",1,56,"heterogenous",0.882,1,"1","r"
"57",1,57,"absent",1.561,0,"1","r"
"58",1,58,"absent",1.603,0,"1","r"
"59",1,59,"absent",1.314,1,"1","r"
"60",1,60,"absent",1.344,1,"1","r"
"61",1,61,"heterogenous",1.092,0,"1","r"
"62",1,62,"homogenous",0.818,1,"1","r"
"63",1,63,"absent",1.151,1,"1","r"
"64",1,64,"heterogenous",1.603,1,"1","r"
"65",1,65,"absent",1.471,0,"1","r"
"66",1,66,"absent",1.27,1,"1","r"
"67",1,67,"homogenous",1.193,1,"1","r"
"68",1,68,"absent",1.014,1,"1","r"
"69",1,69,"absent",0.774,1,"1","r"
"70",1,70,"heterogenous",1.009,1,"1","r"
"71",1,71,"homogenous",0.733,1,"1","r"
"72",1,72,"absent",0.832,1,"1","r"
"73",1,73,"heterogenous",0.959,1,"1","r"
"74",1,74,"heterogenous",1.032,0,"1","r"
"75",1,75,"absent",0.824,0,"1","r"
"76",1,76,"absent",1.372,1,"1","r"
"77",1,77,"absent",1.302,1,"1","r"
"78",1,78,"homogenous",0.845,1,"1","r"
"79",1,79,"heterogenous",0.94,0,"1","r"
"80",1,80,"heterogenous",1.182,0,"1","r"
"81",1,81,"homogenous",1.124,1,"1","r"
