subNum	 block	 trialNo	 fixNo	 xFix	 xFixFlipped	 yFix	 fixStartTime	 fixEndTime	 targPresent	 targSide	 easySide	 RT	 accuracy
1	 1	 1	 1	 527	 -15	 367	 1111957	 1113331	 1	 left	 L	 1.215	 1
1	 1	 2	 1	 509	 3	 372	 1114972	 1115509	 0	 x	 L	 1.270	 1
1	 1	 3	 1	 507	 5	 383	 1118292	 1119335	 1	 left	 L	 0.920	 0
1	 1	 4	 1	 507	 5	 388	 1121275	 1122403	 0	 x	 L	 1.216	 0
1	 1	 5	 1	 502	 10	 379	 1126755	 1127710	 1	 right	 L	 1.881	 1
1	 1	 6	 1	 511	 -1	 382	 1131088	 1131688	 0	 x	 R	 1.460	 0
1	 1	 7	 1	 509	 3	 384	 1135910	 1136652	 0	 x	 L	 1.819	 1
1	 1	 8	 1	 509	 -3	 383	 1140079	 1141211	 1	 right	 R	 1.022	 1
1	 1	 9	 1	 510	 2	 388	 1143960	 1145183	 1	 right	 L	 1.079	 0
1	 1	 10	 1	 510	 2	 392	 1147421	 1148239	 1	 right	 L	 1.483	 1
1	 1	 11	 1	 512	 0	 392	 1151455	 1152485	 0	 x	 R	 1.321	 0
1	 1	 12	 1	 510	 2	 378	 1155226	 1156246	 0	 x	 L	 1.632	 0
1	 1	 13	 1	 503	 -9	 383	 1159204	 1160088	 1	 right	 R	 0.774	 1
1	 1	 14	 1	 503	 -9	 379	 1162426	 1162901	 1	 right	 R	 0.944	 1
1	 1	 15	 1	 506	 -6	 380	 1166618	 1167764	 0	 x	 R	 1.024	 0
1	 1	 16	 1	 502	 10	 379	 1169899	 1171113	 0	 x	 L	 1.103	 1
1	 1	 17	 1	 503	 -9	 387	 1173155	 1174164	 1	 right	 R	 0.899	 1
1	 1	 18	 1	 503	 9	 393	 1176093	 1176935	 1	 left	 L	 0.732	 1
1	 1	 19	 1	 493	 19	 395	 1179277	 1180036	 1	 left	 L	 0.650	 1
1	 1	 20	 1	 496	 -16	 388	 1182265	 1183397	 1	 left	 R	 1.022	 1
1	 1	 21	 1	 503	 9	 390	 1185738	 1186763	 0	 x	 L	 1.181	 1
1	 1	 22	 1	 509	 3	 387	 1189269	 1190542	 0	 x	 L	 1.151	 0
1	 1	 23	 1	 501	 -11	 387	 1192878	 1194212	 0	 x	 R	 1.223	 1
1	 1	 24	 1	 502	 -10	 392	 1196444	 1197943	 0	 x	 R	 1.389	 1
1	 1	 25	 1	 498	 14	 387	 1200085	 1201417	 0	 x	 L	 1.210	 0
1	 1	 26	 1	 499	 -13	 391	 1203753	 1205194	 1	 left	 R	 1.322	 0
1	 1	 27	 1	 501	 11	 391	 1208026	 1208889	 0	 x	 L	 1.442	 1
1	 1	 28	 1	 503	 -9	 388	 1211618	 1213269	 0	 x	 R	 1.541	 1
1	 1	 29	 1	 499	 -13	 403	 1215209	 1216090	 1	 right	 R	 0.770	 1
1	 1	 30	 1	 502	 -10	 389	 1217931	 1219162	 0	 x	 R	 1.121	 1
1	 1	 31	 1	 502	 10	 390	 1221098	 1223023	 0	 x	 L	 1.815	 1
1	 1	 32	 1	 502	 10	 400	 1225060	 1226014	 1	 left	 L	 0.844	 1
1	 1	 33	 1	 506	 -6	 386	 1227952	 1229245	 0	 x	 R	 1.183	 1
1	 1	 34	 1	 495	 17	 390	 1231086	 1231916	 0	 x	 L	 0.720	 1
1	 1	 35	 1	 497	 15	 396	 1233753	 1234618	 1	 right	 L	 0.744	 0
1	 1	 36	 1	 499	 -13	 407	 1236458	 1237799	 0	 x	 R	 1.350	 1
1	 1	 37	 1	 504	 -8	 395	 1240459	 1241650	 0	 x	 R	 1.081	 1
1	 1	 38	 1	 503	 -9	 393	 1244089	 1245351	 1	 left	 R	 1.142	 0
1	 1	 39	 1	 501	 11	 397	 1247582	 1249204	 0	 x	 L	 1.500	 0
1	 1	 40	 1	 496	 16	 397	 1251540	 1252545	 1	 left	 L	 0.895	 1
1	 1	 41	 1	 498	 -14	 390	 1254484	 1256186	 1	 left	 R	 1.591	 1
1	 1	 42	 1	 495	 17	 394	 1257923	 1259217	 1	 right	 L	 1.183	 1
1	 1	 43	 1	 502	 -10	 391	 1261457	 1263019	 0	 x	 R	 1.451	 1
1	 1	 44	 1	 495	 -17	 396	 1264858	 1265940	 1	 right	 R	 0.971	 1
1	 1	 45	 1	 496	 16	 402	 1268080	 1269341	 0	 x	 L	 1.150	 1
1	 1	 46	 1	 498	 -14	 396	 1271183	 1272531	 1	 left	 R	 1.229	 0
1	 1	 47	 1	 497	 -15	 398	 1274470	 1275373	 1	 right	 R	 0.793	 1
1	 1	 48	 1	 495	 17	 403	 1277322	 1278181	 0	 x	 L	 1.422	 1
1	 1	 49	 1	 487	 25	 397	 1280696	 1282156	 0	 x	 L	 1.349	 1
1	 1	 50	 1	 488	 24	 394	 1284294	 1285527	 0	 x	 L	 1.122	 1
1	 1	 51	 1	 504	 8	 394	 1287467	 1288679	 1	 right	 L	 1.098	 1
1	 1	 52	 1	 502	 10	 395	 1290514	 1291798	 1	 right	 L	 1.165	 0
1	 1	 53	 1	 500	 12	 399	 1293737	 1294701	 1	 left	 L	 0.854	 1
1	 1	 54	 1	 494	 -18	 397	 1296943	 1298583	 0	 x	 R	 1.528	 1
1	 1	 55	 1	 510	 2	 397	 1301220	 1302484	 0	 x	 L	 1.152	 1
1	 1	 56	 1	 497	 15	 403	 1304623	 1305615	 1	 right	 L	 0.882	 1
1	 1	 57	 1	 493	 -19	 396	 1307855	 1309536	 0	 x	 R	 1.561	 0
1	 1	 58	 1	 497	 15	 398	 1311474	 1311871	 0	 x	 L	 1.603	 0
1	 1	 59	 1	 494	 18	 395	 1316335	 1317760	 0	 x	 L	 1.314	 1
1	 1	 60	 1	 493	 -19	 391	 1319796	 1321251	 0	 x	 R	 1.344	 1
1	 1	 61	 1	 512	 0	 407	 1323290	 1323878	 1	 left	 R	 1.092	 0
1	 1	 62	 1	 500	 12	 389	 1326295	 1327224	 1	 left	 L	 0.818	 1
1	 1	 63	 1	 496	 16	 389	 1328663	 1329539	 0	 x	 L	 1.151	 1
1	 1	 64	 1	 497	 -15	 395	 1331362	 1333076	 1	 left	 R	 1.603	 1
1	 1	 65	 1	 496	 -16	 390	 1334714	 1335507	 0	 x	 R	 1.471	 0
1	 1	 66	 1	 499	 -13	 391	 1338247	 1339136	 0	 x	 R	 1.270	 1
1	 1	 67	 1	 498	 14	 390	 1341665	 1342970	 1	 left	 L	 1.193	 1
1	 1	 68	 1	 496	 -16	 394	 1344805	 1345528	 0	 x	 R	 1.014	 1
1	 1	 69	 1	 491	 -21	 397	 1348267	 1349152	 0	 x	 R	 0.774	 1
1	 1	 70	 1	 513	 -1	 396	 1351293	 1352413	 1	 right	 L	 1.009	 1
1	 1	 71	 1	 505	 -7	 395	 1354950	 1355795	 1	 right	 R	 0.733	 1
1	 1	 72	 1	 500	 -12	 395	 1356931	 1357876	 0	 x	 R	 0.832	 1
1	 1	 73	 1	 507	 5	 387	 1361417	 1362487	 1	 right	 L	 0.959	 1
1	 1	 74	 1	 493	 -19	 400	 1364725	 1365879	 1	 left	 R	 1.032	 0
1	 1	 75	 1	 489	 23	 400	 1367414	 1368361	 0	 x	 L	 0.824	 0
1	 1	 76	 1	 487	 25	 394	 1370098	 1371582	 0	 x	 L	 1.372	 1
1	 1	 77	 1	 502	 10	 394	 1373418	 1374438	 0	 x	 L	 1.302	 1
1	 1	 78	 1	 494	 -18	 394	 1376367	 1377323	 1	 right	 R	 0.845	 1
1	 1	 79	 1	 500	 -12	 390	 1378462	 1379227	 1	 left	 R	 0.940	 0
1	 1	 80	 1	 494	 18	 388	 1381761	 1382715	 1	 right	 L	 1.182	 0
1	 1	 81	 1	 493	 19	 387	 1385321	 1386057	 1	 left	 L	 1.124	 1
1	 1	 82	 1	 510	 -2	 361	 1403097	 1403934	 0	 x	 R	 0.725	 1
1	 1	 83	 1	 511	 -1	 370	 1406068	 1406729	 1	 right	 R	 0.655	 1
1	 1	 84	 1	 523	 11	 382	 1410172	 1410744	 1	 right	 R	 0.772	 1
1	 1	 85	 1	 513	 1	 390	 1413296	 1414082	 1	 left	 R	 0.890	 0
1	 1	 86	 1	 501	 -11	 393	 1416045	 1417111	 1	 left	 R	 0.941	 0
1	 1	 87	 1	 510	 2	 387	 1418847	 1420219	 0	 x	 L	 1.251	 0
1	 1	 88	 1	 517	 5	 387	 1422358	 1423681	 1	 left	 R	 1.201	 0
1	 1	 89	 1	 518	 -6	 390	 1425918	 1426744	 1	 left	 L	 1.793	 1
1	 1	 90	 1	 508	 -4	 387	 1429357	 1431674	 0	 x	 R	 2.205	 1
1	 1	 91	 1	 498	 14	 389	 1433210	 1434235	 1	 left	 L	 0.913	 1
1	 1	 92	 1	 506	 -6	 392	 1435775	 1436596	 1	 right	 R	 0.709	 1
1	 1	 93	 1	 497	 -15	 390	 1437935	 1439387	 0	 x	 R	 1.340	 1
1	 1	 94	 1	 496	 16	 385	 1441222	 1441630	 1	 right	 L	 1.104	 1
1	 1	 95	 1	 510	 -2	 393	 1443774	 1444954	 0	 x	 R	 1.223	 1
1	 1	 96	 1	 510	 -2	 392	 1446845	 1447660	 0	 x	 R	 1.304	 1
2	 1	 1	 1	 525	 -13	 382	 884319	 884762	 1	 left	 L	 2.324	 0
2	 1	 2	 1	 523	 11	 384	 892217	 892647	 1	 right	 R	 1.980	 1
2	 1	 3	 1	 528	 16	 384	 896635	 897060	 0	 x	 R	 10.746	 1
2	 1	 4	 1	 525	 13	 387	 911930	 912402	 1	 left	 R	 9.477	 1
2	 1	 5	 1	 527	 15	 385	 922554	 922774	 1	 left	 R	 7.016	 1
2	 1	 6	 1	 517	 -5	 378	 932923	 933382	 0	 x	 L	 13.383	 0
2	 1	 7	 1	 532	 -20	 381	 948167	 948673	 1	 left	 L	 1.871	 1
2	 1	 8	 1	 511	 1	 365	 951286	 951656	 1	 right	 L	 16.508	 0
2	 1	 9	 1	 521	 9	 384	 968893	 969306	 0	 x	 R	 18.368	 1
2	 1	 10	 1	 520	 -8	 379	 988324	 988759	 0	 x	 L	 19.315	 1
2	 1	 11	 1	 528	 16	 385	 1008696	 1009070	 1	 right	 R	 1.485	 1
2	 1	 12	 1	 530	 -18	 387	 1011433	 1011957	 1	 right	 L	 16.264	 0
2	 1	 13	 1	 522	 -10	 395	 1029459	 1029925	 1	 right	 L	 12.697	 1
2	 1	 14	 1	 532	 20	 390	 1043311	 1043676	 1	 left	 R	 21.980	 0
2	 1	 15	 1	 525	 -13	 385	 1067150	 1067408	 0	 x	 L	 27.831	 1
2	 1	 16	 1	 526	 -14	 390	 1097134	 1097577	 1	 left	 L	 1.441	 1
2	 1	 17	 1	 527	 15	 384	 1100726	 1101115	 0	 x	 R	 22.427	 1
2	 1	 18	 1	 526	 14	 387	 1124412	 1124888	 0	 x	 R	 18.689	 1
2	 1	 19	 1	 521	 9	 390	 1144180	 1144597	 0	 x	 R	 12.146	 1
2	 1	 20	 1	 519	 7	 387	 1158876	 1159270	 1	 right	 R	 1.403	 1
2	 1	 21	 1	 518	 6	 386	 1161825	 1162265	 0	 x	 R	 9.598	 1
2	 1	 22	 1	 512	 0	 379	 1172466	 1172729	 0	 x	 R	 12.882	 1
